date,day_name,month,season_factor,weekend,occupancy_level,outdoor_temp_c,rainfall_mm,saving_mode,total_usage_kwh,peak_usage_kwh,peak_hour_label,peak_window,average_hourly_kwh,daily_cost_rs,monthly_predicted_bill_rs,future_bill_prediction_rs,tomorrow_usage_prediction_kwh,previous_day_usage_kwh,weekly_average_kwh,usage_change_kwh,usage_change_direction,usage_change_reason,energy_score,eco_score,carbon_impact_kg,carbon_saved_kg,pet_status,pet_meter_pct,pet_message,pet_alert,streak_days,reward_badge,alert_count,recommendation_count,alerts_pipe,recommendations_pipe,personalized_tip_1,personalized_tip_2,personalized_tip_3,hour_00_kwh,hour_01_kwh,hour_02_kwh,hour_03_kwh,hour_04_kwh,hour_05_kwh,hour_06_kwh,hour_07_kwh,hour_08_kwh,hour_09_kwh,hour_10_kwh,hour_11_kwh,hour_12_kwh,hour_13_kwh,hour_14_kwh,hour_15_kwh,hour_16_kwh,hour_17_kwh,hour_18_kwh,hour_19_kwh,hour_20_kwh,hour_21_kwh,hour_22_kwh,hour_23_kwh,ac_power_w,ac_hours,ac_age_years,ac_condition,ac_maintenance,ac_energy_kwh,ac_cost_rs,ac_share_pct,ac_faulty,ac_limit_kwh,fan_power_w,fan_hours,fan_age_years,fan_condition,fan_maintenance,fan_energy_kwh,fan_cost_rs,fan_share_pct,fan_faulty,fan_limit_kwh,iron_power_w,iron_hours,iron_age_years,iron_condition,iron_maintenance,iron_energy_kwh,iron_cost_rs,iron_share_pct,iron_faulty,iron_limit_kwh,tv_power_w,tv_hours,tv_age_years,tv_condition,tv_maintenance,tv_energy_kwh,tv_cost_rs,tv_share_pct,tv_faulty,tv_limit_kwh
2026-01-01,Thursday,January,0.888,0,high,24.2,2.1,1,16.26,1.24,7 PM,6 PM-8 PM,0.68,97.56,2926.8,2842.3,16.93,18.5,16.26,-2.24,decreased,AC health issue increased consumption,77,75,13.33,1.84,sick,94,High usage detected!,Your pet is suffering because heavy usage or a faulty appliance is stressing the home.,0,Steady Guardian,4,4,sudden_spike|pet_suffering|ac_fault|fan_fault,replace_ac_efficient_model|replace_fan_efficient_model|saving_mode_optimizations|shift_usage_to_morning,Highest usage is during 6 PM-8 PM. Shift ironing or cooling to morning to save cost.,Saving mode is active. Prioritize fans over AC and switch off standby loads.,Your appliance mix is stable today.,0.14,0.14,0.14,0.14,0.14,0.16,0.48,0.84,0.75,0.49,0.44,0.44,0.54,0.46,0.49,0.5,0.55,0.79,1.11,1.24,1.15,0.7,0.51,0.26,1508,8.0,4,good,yes,12.06,72.36,72.4,1,9.0,181,12.1,3,good,no,2.19,13.14,13.2,1,1.6,1140,1.2,5,good,yes,1.37,8.22,8.2,0,2.2,178,5.8,4,good,yes,1.03,6.18,6.2,0,1.1
2026-01-02,Friday,January,0.89,0,low,27.3,2.0,0,19.73,1.42,7 PM,6 PM-8 PM,0.82,118.38,3551.4,3558.64,18.69,16.26,18.0,3.47,increased,AC health issue increased consumption,65,58,16.18,0,sick,94,High usage detected!,Your pet is suffering because heavy usage or a faulty appliance is stressing the home.,0,Recovery Mode,5,4,sudden_spike|pet_suffering|ac_fault|fan_fault|iron_fault,replace_ac_efficient_model|replace_fan_efficient_model|replace_iron_efficient_model|shift_usage_to_morning,Highest usage is during 6 PM-8 PM. Shift ironing or cooling to morning to save cost.,You can improve efficiency by cutting AC usage by 1 hour.,Your appliance mix is stable today.,0.29,0.26,0.18,0.18,0.28,0.32,0.66,1.01,0.93,0.65,0.53,0.63,0.71,0.62,0.6,0.6,0.8,0.98,1.27,1.42,1.32,0.85,0.72,0.47,1522,7.1,4,good,no,10.81,64.86,68.9,1,9.0,178,11.7,3,good,yes,2.08,12.48,13.3,1,1.6,1221,2.1,5,good,yes,2.56,15.36,16.3,1,2.2,56,4.2,4,good,yes,0.24,1.44,1.5,0,1.1
2026-01-03,Saturday,January,0.893,1,low,25.3,0,1,16.93,1.23,7 PM,6 PM-8 PM,0.71,101.58,3047.4,3305.15,17.77,19.73,17.64,-2.8,decreased,AC health issue increased consumption,75,74,13.88,2.3,sick,94,High usage detected!,Your pet is suffering because heavy usage or a faulty appliance is stressing the home.,0,Steady Guardian,5,5,sudden_spike|pet_suffering|ac_fault|fan_fault|iron_fault,replace_ac_efficient_model|replace_fan_efficient_model|replace_iron_efficient_model|saving_mode_optimizations|shift_usage_to_morning,Highest usage is during 6 PM-8 PM. Shift ironing or cooling to morning to save cost.,Saving mode is active. Prioritize fans over AC and switch off standby loads.,Your appliance mix is stable today.,0.14,0.14,0.14,0.14,0.14,0.24,0.51,0.78,0.73,0.52,0.42,0.51,0.59,0.43,0.47,0.5,0.59,0.78,1.16,1.23,1.12,0.75,0.58,0.32,1487,8.9,4,good,yes,13.23,79.38,72.7,1,9.0,124,13.2,3,good,yes,1.64,9.84,9.0,1,1.6,1196,2.5,5,good,yes,2.99,17.94,16.4,1,2.2,70,4.7,4,good,yes,0.33,1.98,1.8,0,1.1
2026-01-04,Sunday,January,0.895,1,medium,26.4,0.1,1,16.82,1.34,7 PM,6 PM-8 PM,0.7,100.92,3027.6,3249.39,16.85,16.93,17.44,-0.11,decreased,AC health issue increased consumption,75,71,13.79,0.09,tired,64,"Usage rising, reduce load",Your pet is tired. A little saving today will help it recover.,0,Steady Guardian,3,3,sudden_spike|ac_fault|phantom_load_tv,replace_ac_efficient_model|saving_mode_optimizations|shift_usage_to_morning,Highest usage is during 6 PM-8 PM. Shift ironing or cooling to morning to save cost.,Saving mode is active. Prioritize fans over AC and switch off standby loads.,TV standby may be wasting power,0.14,0.14,0.14,0.14,0.14,0.18,0.49,0.84,0.7,0.49,0.46,0.52,0.55,0.45,0.47,0.53,0.55,0.81,1.16,1.34,1.18,0.78,0.55,0.3,1522,9.0,4,good,yes,13.7,82.2,79.9,1,9.0,107,13.2,3,good,yes,1.41,8.46,8.2,0,1.6,1183,0.9,5,good,yes,1.06,6.36,6.2,0,2.2,170,5.7,4,standby,yes,0.97,5.82,5.7,0,1.1
2026-01-05,Monday,January,0.898,0,high,22.4,3.1,0,18.18,1.4,7 PM,6 PM-8 PM,0.76,109.08,3272.4,3585.87,17.77,16.82,17.58,1.36,increased,AC health issue increased consumption,71,66,14.91,0,tired,64,"Usage rising, reduce load",Your pet is tired. A little saving today will help it recover.,0,Steady Guardian,2,2,sudden_spike|ac_fault,replace_ac_efficient_model|shift_usage_to_morning,Highest usage is during 6 PM-8 PM. Shift ironing or cooling to morning to save cost.,You can improve efficiency by cutting AC usage by 1 hour.,Your appliance mix is stable today.,0.19,0.21,0.14,0.14,0.26,0.35,0.65,1.0,0.92,0.56,0.51,0.58,0.67,0.62,0.61,0.63,0.78,0.89,1.27,1.4,1.31,0.86,0.62,0.4,1528,6.9,4,good,yes,10.54,63.24,88.9,1,9.0,14,12.0,3,good,yes,0.17,1.02,1.4,0,1.6,1260,0.2,5,good,yes,0.25,1.5,2.1,0,2.2,158,5.7,4,good,yes,0.9,5.4,7.6,0,1.1
2026-01-06,Tuesday,January,0.901,0,low,23.5,2.7,0,19.31,1.4,7 PM,6 PM-8 PM,0.8,115.86,3475.8,3512.71,18.97,18.18,17.87,1.13,increased,AC health issue increased consumption,66,61,15.83,0,sick,94,High usage detected!,Your pet is suffering because heavy usage or a faulty appliance is stressing the home.,0,Recovery Mode,4,3,sudden_spike|pet_suffering|ac_fault|fan_fault,replace_ac_efficient_model|replace_fan_efficient_model|shift_usage_to_morning,Highest usage is during 6 PM-8 PM. Shift ironing or cooling to morning to save cost.,You can improve efficiency by cutting AC usage by 1 hour.,Your appliance mix is stable today.,0.3,0.26,0.16,0.14,0.23,0.42,0.72,0.97,0.94,0.66,0.62,0.64,0.71,0.62,0.58,0.59,0.78,0.92,1.3,1.4,1.3,0.97,0.7,0.39,1550,6.6,4,good,no,10.23,61.38,75.3,1,9.0,167,13.1,3,good,yes,2.19,13.14,16.1,1,1.6,1265,0.4,5,good,yes,0.51,3.06,3.8,0,2.2,178,3.7,4,good,yes,0.66,3.96,4.9,0,1.1
2026-01-07,Wednesday,January,0.903,0,low,24.8,2.2,1,15.97,1.36,7 PM,6 PM-8 PM,0.67,95.82,2874.6,2802.07,16.97,19.31,17.6,-3.34,decreased,AC health issue increased consumption,79,78,13.1,2.74,sick,94,High usage detected!,Your pet is suffering because heavy usage or a faulty appliance is stressing the home.,0,Steady Guardian,5,5,sudden_spike|pet_suffering|ac_fault|fan_fault|iron_fault,replace_ac_efficient_model|replace_fan_efficient_model|replace_iron_efficient_model|saving_mode_optimizations|shift_usage_to_morning,Highest usage is during 6 PM-8 PM. Shift ironing or cooling to morning to save cost.,Saving mode is active. Prioritize fans over AC and switch off standby loads.,Your appliance mix is stable today.,0.14,0.14,0.14,0.14,0.14,0.21,0.59,0.9,0.71,0.44,0.4,0.52,0.6,0.54,0.44,0.44,0.64,0.84,1.17,1.36,1.16,0.7,0.57,0.26,1589,6.7,4,good,yes,10.65,63.9,84.2,1,9.0,62,11.2,3,good,no,0.69,4.14,5.5,1,1.6,1189,0.5,5,overheat,no,0.59,3.54,4.7,1,2.2,149,4.8,4,good,yes,0.72,4.32,5.7,0,1.1
2026-01-08,Thursday,January,0.906,0,low,25.7,5.5,1,16.45,1.22,7 PM,6 PM-8 PM,0.69,98.7,2961.0,3283.54,16.31,15.97,17.63,0.48,increased,AC health issue increased consumption,77,73,13.49,0,sick,94,High usage detected!,Your pet is suffering because heavy usage or a faulty appliance is stressing the home.,0,Steady Guardian,6,6,sudden_spike|pet_suffering|ac_fault|fan_fault|iron_fault|tv_fault,replace_ac_efficient_model|replace_fan_efficient_model|replace_iron_efficient_model|replace_tv_efficient_model|saving_mode_optimizations|shift_usage_to_morning,Highest usage is during 6 PM-8 PM. Shift ironing or cooling to morning to save cost.,Saving mode is active. Prioritize fans over AC and switch off standby loads.,Your appliance mix is stable today.,0.14,0.14,0.14,0.14,0.14,0.21,0.51,0.77,0.78,0.47,0.36,0.38,0.51,0.48,0.42,0.4,0.55,0.84,1.19,1.22,1.1,0.76,0.53,0.24,1563,8.7,4,good,yes,13.6,81.6,74.3,1,9.0,153,12.8,3,good,yes,1.96,11.76,10.7,1,1.6,1180,2.0,5,good,yes,2.36,14.16,12.9,1,2.2,65,5.8,4,good,no,0.38,2.28,2.1,1,1.1
2026-01-09,Friday,January,0.908,0,high,28.8,3.8,1,15.67,1.33,7 PM,6 PM-8 PM,0.65,94.02,2820.6,3125.48,15.9,16.45,17.05,-0.78,decreased,AC health issue increased consumption,80,77,12.85,0.64,sick,94,High usage detected!,Your pet is suffering because heavy usage or a faulty appliance is stressing the home.,0,Steady Guardian,5,4,sudden_spike|pet_suffering|ac_fault|iron_fault|phantom_load_tv,replace_ac_efficient_model|replace_iron_efficient_model|saving_mode_optimizations|shift_usage_to_morning,Highest usage is during 6 PM-8 PM. Shift ironing or cooling to morning to save cost.,Saving mode is active. Prioritize fans over AC and switch off standby loads.,TV standby may be wasting power,0.14,0.14,0.14,0.14,0.14,0.18,0.48,0.85,0.7,0.39,0.36,0.42,0.57,0.53,0.4,0.47,0.56,0.85,1.14,1.33,1.07,0.79,0.47,0.31,1487,6.5,4,good,yes,9.67,58.02,68.7,1,9.0,83,12.8,3,good,yes,1.06,6.36,7.5,0,1.6,1275,2.4,5,good,no,3.06,18.36,21.7,1,2.2,68,4.2,4,standby,yes,0.29,1.74,2.1,0,1.1
2026-01-10,Saturday,January,0.911,1,high,26.7,0,0,20.12,1.48,7 PM,6 PM-8 PM,0.84,120.72,3621.6,3656.61,18.79,15.67,17.5,4.45,increased,AC health issue increased consumption,64,56,16.5,0,sick,94,High usage detected!,Your pet is suffering because heavy usage or a faulty appliance is stressing the home.,0,Recovery Mode,6,5,sudden_spike|pet_suffering|ac_fault|fan_fault|iron_fault|tv_fault,replace_ac_efficient_model|replace_fan_efficient_model|replace_iron_efficient_model|replace_tv_efficient_model|shift_usage_to_morning,Highest usage is during 6 PM-8 PM. Shift ironing or cooling to morning to save cost.,You can improve efficiency by cutting AC usage by 1 hour.,Your appliance mix is stable today.,0.28,0.18,0.19,0.25,0.3,0.39,0.71,0.96,0.97,0.64,0.61,0.61,0.74,0.67,0.58,0.67,0.75,1.01,1.29,1.48,1.3,0.97,0.68,0.41,1568,8.0,4,good,yes,12.54,75.24,79.2,1,9.0,108,12.0,3,good,no,1.3,7.8,8.2,1,1.6,1308,0.7,5,good,no,0.92,5.52,5.8,1,2.2,182,5.9,4,good,no,1.07,6.42,6.8,1,1.1
